nombre,direccion,lat,long
parque centenario,diaz velez 2000,-34.6064996,-58.4356338
Hospital General de Agudos Carlos G. Durand,Av. Díaz Vélez 5044 CABA,-34.6099196,-58.4377873
,Avenida Díaz Vélez 4520 CABA,-34.608904,-58.4306843
Parque Rivadavia,Av. Rivadavia 4950 CABA,-34.6178651,-58.4332011
